PERGUNTA PRINCIPAL,RESPOSTA,Palavra-chave/Tema
Quando posso começar meu estágio?,Essa resposta depende do PPC do seu curso. Procure essa informação com o seu coordenador. ,que periodo ou ano iniciar o estágio
Qual o link da planilha de empresas conveniadas?,"Olá! 😊 O campus Barbacena tem convênio com mais de 200 empresas. Você pode conferir a lista completa de empresas conveniadas <a href=""https://docs.google.com/spreadsheets/d/1rsuvUiRThdah-sgIWmIcM5dS82imdys4tatL9WvCYeY"">aqui</a>. Dica: Filtre a planilha pelo seu curso para facilitar a busca! 😉
",onde procurar a lista de empresas com convênio ativo
Quantas horas eu posso estagiar?,"🎓 <strong>Fato Curioso:</strong><br><br>
Segundo a Lei de Estágio (Art. 10, item II), a jornada diária é de até 6 horas e semanal de até 30 horas. 🕒 Durante períodos sem aulas presenciais (como nas férias), a carga horária pode chegar a 40 horas semanais.<br><br>
Para mais detalhes, confira a <a href=""https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11788.htm"">Lei de Estágio</a>.
",horas por semana e/ou horas por dia definios na lei 
Quantas horas de estágio preciso cumprir? ,Essa informação depende do seu curso. Me fale qual é o nome do curso?,"carga horária de estágio do curso, quantas horas de estágio eu preciso fazer"
Quem é o coordenador do meu curso? ,"🌐 <strong>Conectando-se!</strong><br><br>
Achei o link da aba Fale conosco do site. Procure neste link o nome do seu curso para verificar o nome do coordenador e o e-mail de contato. 📧😉<br><br>
<a href=""https://www.ifsudestemg.edu.br/barbacena/fale-conosco"">Fale Conosco</a>

",contatos dos coordenadores dos cursos 
Como solictar o termo aditivo?,"📝 <strong>Precisa alterar o TCE?</strong> Sem problema! Você pode solicitar um termo aditivo. Mas, atenção! 🛑 O termo aditivo só pode ser solicitado até a data final do TCE original. Para isso, basta preencher o formulário neste link: 
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">Formulário de Solicitação</a>",termo aditivo para mudanças no TCE
Onde solicitar o termo de compromisso? ,"🚀 <strong>Novidade!</strong> A partir de 2025/1 a solicitação do TCE e Termo Aditivo será realizada pelo formulário On-line. <br>Acesse o formulário 
<a href=""https://forms.gle/EZqc4ixgTP8RyP7VA"">aqui</a>.<br><br>
", formullário por onde solicitar do termo de compromisso (TCE)
O que é Termo de Compromisso de Estágio? ,"📜 Curiosidade Importante: O Termo de Compromisso de Estágio (TCE) é um documento obrigatório no Brasil que formaliza a relação de estágio entre estudante, instituição de ensino e a parte concedente. Ele define as condições do estágio, como carga horária, atividades, duração e responsabilidades, garantindo os direitos e deveres de ambas as partes. ⚖️",Significado do Termo de compromisso (tce)
Preciso contratar um seguro de vida?,"💼 <strong>Sobre o seguro de vida:</strong> Se o estágio for OBRIGATÓRIO, o IF fornecerá o seguro de vida. Se o estágio for NÃO OBRIGATÓRIO, essa responsabilidade será da empresa. A contratação de seguro contra acidentes pessoais é obrigatória. Confira o art. 9° da Lei de estágio. 
<a href=""https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/lei/l11788.htm"">Lei de Estágio</a>
",seguro de vida o contra acidentes pessoais
Quais dias a Coordenação de estágio esta funcionando?,"A Coordenação de Estágio fica aberta 12h ininterruptas, de 09h às 21h, de Segunda a Sexta.<br><br>
📬 <strong>Contatos:</strong><br>
📧 E-mail: <a href=""mailto:estagio.barbacena@ifsudestemg.edu.br"">estagio.barbacena@ifsudestemg.edu.br</a><br>
📞 Telefone: <a href=""tel:+5532984695769"">(32) 98469-5769</a>",Contatos e funcionamento da Coordenação de Estágio/setor de estágio
alimentos,Curso Técnico em Alimentos:Ainda estamos verificando essa informação.O curso tecnólogo em alimentos tem carga horária total de estágio de 300 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecnologiaalimentos.barbacena@ifsudestemg.edu.br,curso técnico em alimentos e curso tecnólogo em alimentos
agroindústria,O curso técnico em agroindústria tem carga horária total de estágio de 150 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecagroindustria.barbacena@ifsudestemg.edu.br,"curso técnico em agroindústria, integrado ao ensino médio "
agropecuária,O curso técnico em agropecuária tem carga horária total de estágio de 240 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: tecagropecuaria.barbacena@ifsudestemg.edu.br,"curso técnico em agropecuária, integrado ao ensino médio"
hospedagem,O curso técnico em hospedagem tem carga horária total de estágio de 180 h. Em caso de dúvidas entre em contato com seu coordenador pelo e-mail: techospedagem.barbacena@ifsudestemg.edu.br,"curso técnico hospedagem, integrado ao ensino médio"
